County_Name,FIPS,State,Latitude,Longitude
Los Angeles County,06037,CA,34.32089996,-118.2247009
Cook County,17031,IL,41.84009933,-87.81680298
Harris County,48201,TX,29.85779953,-95.39360046
Maricopa County,04013,AZ,33.34899902,-112.4915009
San Diego County,06073,CA,33.03430176,-116.7350006
Orange County,06059,CA,33.7030983,-117.7609024
Miami-Dade County,12086,FL,25.61490059,-80.56230164
Dallas County,48113,TX,32.76660156,-96.77780151
Kings County,36047,NY,40.63949966,-73.93849945
Riverside County,06065,CA,33.74369812,-115.9937973
Queens County,36081,NY,40.70230103,-73.82029724
Clark County,32003,NV,36.21519852,-115.0134964
King County,53033,WA,47.49020004,-121.8051987
San Bernardino County,06071,CA,34.84140015,-116.1784973
Tarrant County,48439,TX,32.77190018,-97.29109955
Bexar County,48029,TX,29.44890022,-98.51999664
Broward County,12011,FL,26.15229988,-80.48709869
Santa Clara County,06085,CA,37.23180008,-121.6950989
Wayne County,26163,MI,42.2818985,-83.28220367
Alameda County,06001,CA,37.64690018,-121.8888016
New York County,36061,NY,40.77840042,-73.9673996
Middlesex County,25017,MA,42.48559952,-71.39179993
Philadelphia County,42101,PA,40.00770187,-75.1339035
Sacramento County,06067,CA,38.44929886,-121.3442993
Palm Beach County,12099,FL,26.64760017,-80.46549988
Suffolk County,36103,NY,40.86859894,-72.84480286
Hillsborough County,12057,FL,27.92919922,-82.30919647
Bronx County,36005,NY,40.84999847,-73.8660965
Orange County,12095,FL,28.51440048,-81.32350159
Nassau County,36059,NY,40.73279953,-73.58650208
Franklin County,39049,OH,39.9695015,-83.00930023
Oakland County,26125,MI,42.66040039,-83.38580322
Hennepin County,27053,MN,45.00450134,-93.47699738
Travis County,48453,TX,30.33440018,-97.78199768
Cuyahoga County,39035,OH,41.42430115,-81.65859985
Allegheny County,42003,PA,40.46879959,-79.98120117
Fairfax County,51059,VA,38.83679962,-77.27700043
Contra Costa County,06013,CA,37.91910172,-121.9276962
Salt Lake County,49035,UT,40.66730118,-111.9235992
Mecklenburg County,37119,NC,35.24670029,-80.83280182
Wake County,37183,NC,35.79029846,-78.65029907
Fulton County,13121,GA,33.79029846,-84.46700287
Montgomery County,24031,MD,39.13629913,-77.20420074
Pima County,04019,AZ,32.09740067,-111.7899017
Collin County,48085,TX,33.18799973,-96.57240295
St. Louis County,29189,MO,38.64070129,-90.44339752
Fresno County,06019,CA,36.7582016,-119.6492996
Honolulu County,15003,HI,21.50079918,-158.1053009
Pinellas County,12103,FL,27.91990089,-82.7256012
Westchester County,36119,NY,41.16239929,-73.75610352
Marion County,18097,IN,39.78170013,-86.1384964
Milwaukee County,55079,WI,43.00719833,-87.96690369
Duval County,12031,FL,30.33160019,-81.67079926
Fairfield County,09001,CT,41.27109909,-73.38929749
Shelby County,47157,TN,35.18420029,-89.89399719
Bergen County,34003,NJ,40.95970154,-74.07420349
Gwinnett County,13135,GA,33.96170044,-84.02359772
DuPage County,17043,IL,41.85200119,-88.08560181
Erie County,36029,NY,42.76390076,-78.7322998
Prince George's County,24033,MD,38.82949829,-76.84729767
Kern County,06029,CA,35.34260178,-118.7301025
Hartford County,09003,CT,41.8064003,-72.73290253
Pierce County,53053,WA,47.02410126,-122.104599
San Francisco County,06075,CA,37.75579834,-122.4449005
Macomb County,26099,MI,42.6957016,-82.93229675
Denton County,48121,TX,33.20550156,-97.1167984
Hidalgo County,48215,TX,26.39669991,-98.18109894
New Haven County,09009,CT,41.41059875,-72.93209839
Ventura County,06111,CA,34.45610046,-119.0836029
El Paso County,48141,TX,31.76860046,-106.2348022
Baltimore County,24005,MD,39.46269989,-76.63929749
Montgomery County,42091,PA,40.21080017,-75.36730194
Worcester County,25027,MA,42.35139847,-71.90769958
Middlesex County,34023,NJ,40.43920135,-74.41169739
Hamilton County,39061,OH,39.19549942,-84.5428009
Snohomish County,53061,WA,48.04750061,-121.6975021
Multnomah County,41051,OR,45.54679871,-122.4148026
Suffolk County,25025,MA,42.33340073,-71.07189941
Essex County,34013,NJ,40.78720093,-74.24710083
Oklahoma County,40109,OK,35.55149841,-97.40720367
Fort Bend County,48157,TX,29.52750015,-95.77089691
Essex County,25009,MA,42.6731987,-70.95200348
Jefferson County,21111,KY,38.18719864,-85.65910339
San Mateo County,06081,CA,37.42290115,-122.3290024
