State,County_FIPS,Average_Distance_to_Stations_(miles),Station_Identifiers_(USAF_WBAN),Nearest_Station,Nearest_Station_Distance,County_Name
CA,6037,33.13369430596486,72004699999|72032999999|72033353175|72033399999|72095299999|72286593180|72286599999|72287493134|72288023152|72288099999|72288399999|72288499999|72288593197|72288599999|72288623130|72288699999|7228873180|72288799999|72289093136|72289099999|7228993179|72289999999|72291399999|72291593114|72291699999|72291799999|72295023174|72295499999|7229553122|7229553174|72295599999|7229563167|72295699999|72295899999|72297023129|72297499999|72297553141|72297593106|72297599999|7229763166|72297699999|72297793184|72297799999|72297899999|7229793157|72298399999|72298599999|72298699999|72381023114|72381099999|7238163159|72382023182|72382099999|72383023187|72392099999|72392623136|72392899999|74505753130|74505799999|7470403102|74704099999|74704199999|7470433165|74704399999|74916999999|99402899999|99403599999|99637099999|99732699999|99732799999|9999993102|9999993122|9999993157|9999993174|99999923136|99999923152|99999923174|99999923180|99999923182|99999923187|99999993106|99999993113|99999993114|99999993134|99999993136|99999993184,72289093136,10.868712824309528,Los Angeles County
IL,17031,22.398467985810598,7201374867|72013799999|7220754871|72207599999|7221264879|72212699999|72241799999|72241899999|72530094846|72530594892|72530599999|72530614855|72530699999|72530799999|72533999999|72534014819|72534499999|72534514834|72534599999|72534694866|72534699999|72534714880|72534799999|7253484831|72534899999|74465099999|7446554808|74465599999|7446654838|74466599999|99725599999|99733899999|99773599999|99849799999|99849999999|99999914810|99999914819|99999914834|99999914855|99999994846|99999994866,99999914819,5.013514025870504,Cook County
TX,48201,21.24961271960088,720594188|72059499999|720617208|720637223|72242712975|72242799999|72242953910|72242999999|72243012960|72243399999|72243512918|72243599999|72243612906|72243699999|72244012918|72244453902|72244499999|72254312977|72254399999|72502199999|99736199999|99737099999|99818199999|99848199999|99999912918|99999912945|99999912960,99999912945,6.455013661380787,Harris County
AZ,4013,28.49059297619333,720644226|72064499999|72274953128|72274999999|72278023183|7227833185|72278399999|7227843184|72278499999|72278523111|72278599999|72278623104|72278699999|72278753126|72278799999|7227883186|72278899999|7227893192|72278999999|7472403148|74724023168|74724099999|9999993148|99999923183|99999953156|99999953176|99999993105,7227883186,7.830423164730672,Maricopa County
CA,6073,33.170459341744056,72290023188|72290199999|7229033131|72290399999|7229043178|72290423196|72290499999|72290693112|72290753143|72290799999|72290993115|72291499999|72291999999|72292399999|7229263154|7229273177|72292799999|722928369|72292899999|72292999999|72293093107|72293193107|72293199999|72293453121|72293499999|72295999999|74505653120|74505699999|7471863164|74718699999|99401899999|99402799999|99729299999|99732999999|99733099999|99801399999|99815999999|99816199999|99840899999|9999993154|99999923178|99999923181|99999923188|99999923196|99999953151|99999993107|99999993115,74505699999,10.453099937644062,San Diego County
CA,6059,30.802197992546958,69014093101|72032999999|72033353175|72033399999|72068799999|72285999999|72286023119|72286099999|72286593180|72286599999|72286623122|72286699999|72286723156|72286799999|7228693171|72286999999|72287493134|72288023152|72288099999|72288399999|72288499999|72288593197|72288599999|7228873180|72288799999|72289093136|72289099999|7228993179|72289999999|72290899999|72291399999|72291593114|72291799999|72292023191|72292099999|72292399999|72292499999|7229263154|7229273177|72292799999|722928369|72292899999|72292999999|72293399999|72293453121|72293499999|72295023174|7229553122|7229553174|72295599999|7229563167|72295699999|72295899999|72297023129|72297399999|72297499999|72297553141|72297593106|72297599999|7229763166|72297699999|72297793184|72297799999|72297899999|7229793157|72298399999|72298499999|72298599999|72298699999|7470403102|74704099999|74704199999|7470433165|74704399999|74916999999|99402899999|99403599999|99637099999|99732799999|99732899999|99732999999|9999993102|9999993122|9999993154|9999993157|9999993174|99999923122|99999923152|99999923156|99999923174|99999923181|99999923191|99999953151|99999993101|99999993106|99999993113|99999993114|99999993134|99999993136|99999993184,69014093101,2.9621241326633743,Orange County
FL,12086,32.207686618493604,72201999999|72202012839|72202412882|72202499999|72202512849|72202612826|72202699999|72202799999|72202899999|72202912888|72202999999|72203792809|72203799999|72203912885|72203999999|74783012849|99408399999|99431099999|99443099999|99456099999|99735599999|99827499999|99827599999|99827699999|99827799999|99827899999|99827999999|99828399999|99828499999|99828599999|99828699999|99828799999|99828899999|99828999999|99829199999|99829299999|99829399999|99829499999|99829599999|99829699999|99829799999|99829999999|99830099999|99830299999|99830599999|99830699999|99830799999|99849399999|99849499999|99849599999|99999912826|99999912839|99999912848|99999912849|99999912852|99999912853|99999992811,72202912888,8.160294481225284,Miami-Dade County
TX,48113,25.273256975466452,72029153970|72029199999|72029953966|72029999999|72032053981|72032099999|721044448|72209453984|72209499999|72210299999|72214353975|72214399999|72247953907|72247999999|72248953911|72248999999|72254153914|72254199999|72258013960|72258113960|72258313960|72258593901|72258813926|72258899999|7225893991|72258999999|7225903927|7225933985|72259399999|72259453909|72259499999|72259513911|72259613961|7225983970|72259899999|7225993971|72259999999|74739013961|9999993927|99999913907|99999993901|99999993903|99999993904,72258013960,5.9732433976362564,Dallas County
NY,36047,20.69703000072824,72055399999|72408799999|72409899999|72502699999|72502899999|72503014732|72503394728|7250354781|72503794745|72503999999|7250504781|72505394728|72506094728|74485999999|74486094789|74486454787|74486499999|74497599999|74497699999|74910599999|99410099999|99642099999|99718699999|99727199999|99727299999|99728099999|99728999999|99743999999|99999914708|99999914732|99999914786|99999914797|99999994728|99999994745|99999994789,74497699999,3.3949997621957926,Kings County
CA,6065,30.030412180036578,69015093121|69015099999|69141499999|69811499999|72286893138|72286899999|72381493121|7471873104|74916699999|74947799999|74949599999|9999993104|99999923172|99999993118|99999993120|99999993121,99999923172,10.8176413948048,Riverside County
NY,36081,21.985870901629653,72055399999|72408799999|72409899999|72502699999|72502899999|72503014732|72503394728|7250354781|72503794745|72503999999|7250504781|72505394728|72506094728|74485999999|74486094789|74486454787|74486499999|74497599999|74497699999|74910599999|99410099999|99446099999|99493099999|99494099999|99496099999|99497099999|99642099999|99718699999|99727199999|99727299999|99728099999|99728999999|99729099999|99743999999|99999914708|99999914732|99999914786|99999914797|99999994728|99999994745|99999994789,74486094789,5.275113268728312,Queens County
NV,32003,24.96673748144383,69017099999|69017499999|69258499999|72067599999|720741269|72209653127|72209699999|72386023169|72484653123|72484699999|74614023112|74614123141|74614199999|99999923141|99999923169|99999923173,99999923173,1.641255670565253,Clark County
WA,53033,34.98184944377935,720388469|72038899999|72665699999|72781524237|72792894263|72792899999|72793024233|72793399999|72793494248|72793499999|72793524234|72793599999|72793724222|72793799999|72793894274|72793899999|72793999999|7279454205|72794599999|72796599999|72797399999|74200499999|74206024207|74206099999|74206599999|74206699999|74207024201|74207099999|74207124201|74207199999|74207599999|74207699999|99401499999|99404899999|99435099999|99825699999|99999924207|99999924233|99999924234|99999924237|99999924244|99999924281|99999994274|99999994290,72793494248,19.14411251085773,King County
CA,6071,37.42686527459841,69015093121|69015099999|69269499999|69541499999|69753499999|69811499999|72381493121|72381523161|72387499999|7461103182|74611099999|74949599999|99999923161|99999923192|99999993121,69541499999,31.224391658420316,San Bernardino County
TX,48439,27.821115062443184,72026153976|72026199999|72028653977|72028699999|72029153970|72029199999|72029553972|72029599999|72029953966|72029999999|72030553964|72030599999|72032053981|72032099999|72209453984|72209499999|72210299999|72214353975|72214399999|72247953907|72247999999|72254153914|72254199999|72258013960|72258113960|72258313960|72258593901|7225893991|72258999999|7225903927|7225933985|72259399999|72259453909|72259499999|72259513911|72259613961|72259793985|7225983970|72259899999|7225993971|72259999999|74739013961|9999993927|9999993943|99999913907|99999993901|99999993903|99999993904,72259613961,5.204448019043822,Tarrant County
TX,48029,25.637816103347784,720395130|72039599999|72073399999|72241612971|72252312970|72252399999|72253012921|72253312962|72253512909|72253599999|72253612911|72253699999|72253712961|72253799999|72253912979|74905699999|74905899999|99999912910|99999912911|99999912931,72253512909,5.91904423033365,Bexar County
FL,12011,30.767532530377178,72202012839|72202212803|72202299999|72202412882|72202499999|72202512849|72202612826|72202699999|72202799999|72202899999|72202912888|72202999999|72203012844|72203792809|72203799999|72203912885|72203999999|72204992805|72204999999|74783012849|74904499999|99405099999|99417099999|99456099999|99735599999|99830599999|99999912826|99999912839|99999912844|99999912848|99999912849|99999912852|99999912853|99999992811,72203792809,18.547612960253314,Broward County
CA,6085,34.990012800822946,69007093217|720646228|72491523245|72491523259|72491599999|72491693217|72491699999|72491723233|72491899999|72492523240|72492623258|72492723285|72492799999|72493023230|72493099999|72493593228|72493599999|72493723289|72493799999|72493893231|72493899999|72494023234|72494523293|72494693232|72494699999|72494799999|72585093228|72593023233|74492599999|74504099999|74505599999|74505823277|74505899999|74506023239|74509023244|74509099999|74509599999|74509699999|749179392|74917999999|74918099999|74918199999|749484395|99401999999|99403399999|99404199999|99737599999|99739299999|99799799999|99816299999|99817399999|99999923230|99999923233|99999923234|99999923240|99999923242|99999923244|99999923245|99999923259|99999923293|99999993211|99999993217|99999993228|99999993243,72494693232,9.686409623732906,Santa Clara County
MI,26163,25.793133449329183,69011099999|72011354829|72011399999|7202754872|72027599999|72537094847|72537354819|72537399999|72537494889|72537514822|72537614853|72537699999|72537714804|72537799999|7253784887|72537899999|72538599999|7254044847|72541854823|72541899999|72632099999|72637594817|72637599999|99477099999|99729599999|99799699999|99849299999|99999914804|99999914822|99999914853|99999914856|99999994847,72537094847,4.312939936552714,Wayne County
CA,6001,30.110596192208238,720646228|72492023237|72492523240|72492723285|72492799999|72493023230|72493099999|72493593228|72493599999|72493623254|72493723289|72493799999|72493893231|72493899999|72493999999|72494023234|72494399999|72494523293|72494693232|72494699999|72494799999|72495023250|72495023254|72495593227|72495599999|72495623211|72495899999|72585093228|74013499999|74016499999|74492599999|74503999999|74504099999|74504599999|74505823277|74505899999|74506023239|74506599999|74509023244|74509099999|74509599999|74509699999|74509799999|74516023202|74516099999|74516599999|74918099999|74918199999|749484395|99401699999|99403399999|99403499999|99403699999|99404199999|99773499999|99801199999|99816399999|99819799999|99847499999|99847599999|99847699999|99847799999|99847899999|99847999999|99849699999|99999923202|99999923230|99999923234|99999923237|99999923239|99999923240|99999923242|99999923244|99999923254|99999923272|99999923293|99999993211|99999993228,72492723285,5.145560472534106,Alameda County
NY,36061,23.78944510772572,72055399999|72408799999|72409899999|72502699999|72502899999|72503014732|72503394728|7250354781|72503794745|72503999999|7250504781|72505394728|72506094728|74485999999|74486094789|74486454787|74486499999|74497599999|74497699999|74910599999|99410099999|99446099999|99493099999|99494099999|99496099999|99497099999|99718699999|99727199999|99727299999|99728099999|99728999999|99729099999|99743999999|99999914708|99999914732|99999914786|99999914797|99999994728|99999994745|99999994789,72503394728,0.09358835448605028,New York County
MA,25017,26.541835653295664,72225664774|72505914702|72505999999|72506854777|72506899999|72507699999|72508554756|72508599999|72508854733|72508899999|72509014739|72509499999|72509594746|72509714790|72509854704|72509899999|72509999999|72510094746|7251074780|72510799999|72605499999|72606799999|74490014702|74490099999|74490494723|74490499999|7449054779|74490714753|99242099999|99497199999|99714099999|99727899999|9999994769|9999994780|99999914702|99999914753|99999914781|99999914789|99999914790|99999994746,99999914702,5.092985972861727,Middlesex County
PA,42101,24.007755139264297,72030464752|72030499999|72032464753|72032499999|720408136|72040899999|72408013739|72408594732|72408599999|72408614793|72510954782|72510999999|72511354786|72511399999|72517014737|72517199999|99728699999|99730099999|99737299999|99768799999|99769899999|99800299999|99826599999|99834299999|9999993761|99999913739|99999913771|99999914737|99999914793|99999994732,99834299999,4.831871339792633,Philadelphia County
CA,6067,32.537997851923365,72026723224|72026799999|720576174|72057699999|720614205|720645227|72068199999|72482893241|72482899999|72483023232|72483323206|72483399999|72483523206|72483623208|72483699999|72483793216|72483799999|72483893205|72483899999|72483993225|72483999999|72492023237|72493623254|72495023254|72495899999|74500099999|74516023202|74516099999|74516599999|99403499999|99801199999|99847899999|99999923202|99999923232|99999923237|99999923254|99999923271|99999993216,72483399999,7.7284527575179185,Sacramento County
FL,12099,36.36553155783575,72202212803|72202299999|72202512849|72203012844|72203599999|72203699999|72203792809|72203799999|72203912885|72203999999|72204899999|72204992805|72204999999|72218992815|72218999999|722261360|72226199999|74783012849|74904499999|99405099999|99417099999|99830599999|99999912844|99999912849,72203012844,22.815648341612164,Palm Beach County
